Breakdown,ttm,12/30/2020,12/30/2019,12/30/2018,12/30/2017,finStat,group_name,sector
Total Revenue,86.07,189.965,757.639,"1,110",955.938,income statement,PWCO,Utilities
Operating Expense,217.999,302.021,"1,207","1,438","1,629",income statement,PWCO,Utilities
Operating Income,-131.929,-112.056,-449.421,-328.28,-673.308,income statement,PWCO,Utilities
Other Income Expense,-,-,-,-,-20.307,income statement,PWCO,Utilities
Pretax Income,-131.929,-112.056,-449.421,-328.28,-693.615,income statement,PWCO,Utilities
Net Income Common Stockholders,-131.929,-112.056,-449.421,-328.28,-693.615,income statement,PWCO,Utilities
Diluted NI Available to Com Stockholders,-131.929,-112.056,-449.421,-328.28,-693.615,income statement,PWCO,Utilities
Basic EPS,-,-0.00,-0.00,-0.00,-0.00,income statement,PWCO,Utilities
Diluted EPS,-,-0.00,-0.00,-0.00,-0.00,income statement,PWCO,Utilities
Basic Average Shares,-,"210,343","210,343","208,541","202,552",income statement,PWCO,Utilities
Diluted Average Shares,-,"210,343","210,343","208,541","202,552",income statement,PWCO,Utilities
Total Expenses,217.999,302.021,"1,207","1,438","1,629",income statement,PWCO,Utilities
Net Income from Continuing & Discontinued Operation,-131.929,-112.056,-449.421,-328.28,-693.615,income statement,PWCO,Utilities
Normalized Income,-131.929,-112.056,-449.421,-328.28,-673.308,income statement,PWCO,Utilities
EBIT,-131.929,-112.056,-449.421,-328.28,-673.308,income statement,PWCO,Utilities
EBITDA,-114.873,-,-,-,-,income statement,PWCO,Utilities
Reconciled Depreciation,17.056,18.114,21.288,21.288,6.697,income statement,PWCO,Utilities
Net Income from Continuing Operation Net Minority Interest,-131.929,-112.056,-449.421,-328.28,-693.615,income statement,PWCO,Utilities
Total Unusual Items Excluding Goodwill,-,-,-,0,-20.307,income statement,PWCO,Utilities
Total Unusual Items,-,-,-,0,-20.307,income statement,PWCO,Utilities
Normalized EBITDA,-114.873,-93.942,-428.133,-306.992,-646.304,income statement,PWCO,Utilities
Tax Rate for Calcs,0,0,0,0,0,income statement,PWCO,Utilities
Tax Effect of Unusual Items,0,0,0,0,0,income statement,PWCO,Utilities
