Breakdown,ttm,12/30/2020,12/30/2019,12/30/2018,12/30/2017,finStat,group_name,sector
Total Revenue,"4,291,800","3,737,600","4,482,200","4,696,000","4,377,000",income statement,Axalta Coating Systems Ltd.,Basic Materials
Cost of Revenue,"2,749,200","2,457,900","2,917,900","3,106,300","2,779,600",income statement,Axalta Coating Systems Ltd.,Basic Materials
Gross Profit,"1,542,600","1,279,700","1,564,300","1,589,700","1,597,400",income statement,Axalta Coating Systems Ltd.,Basic Materials
Operating Expense,"994,700","974,200","1,076,100","1,147,600","1,164,200",income statement,Axalta Coating Systems Ltd.,Basic Materials
Operating Income,"547,900","305,500","488,200","442,100","433,200",income statement,Axalta Coating Systems Ltd.,Basic Materials
Net Non Operating Interest Income Expense,"-144,200","-149,900","-162,600","-159,600","-147,000",income statement,Axalta Coating Systems Ltd.,Basic Materials
Other Income Expense,"-26,300","-33,400","4,400","-15,000","-96,600",income statement,Axalta Coating Systems Ltd.,Basic Materials
Pretax Income,"377,400","122,200","330,000","267,500","189,600",income statement,Axalta Coating Systems Ltd.,Basic Materials
Tax Provision,"82,500",200,"77,400","54,200","141,900",income statement,Axalta Coating Systems Ltd.,Basic Materials
Net Income Common Stockholders,"293,800","121,600","249,000","207,100","36,700",income statement,Axalta Coating Systems Ltd.,Basic Materials
Diluted NI Available to Com Stockholders,"293,800","121,600","249,000","207,100","36,700",income statement,Axalta Coating Systems Ltd.,Basic Materials
Basic EPS,-,0.52,1.06,0.87,0.15,income statement,Axalta Coating Systems Ltd.,Basic Materials
Diluted EPS,-,0.52,1.06,0.85,0.15,income statement,Axalta Coating Systems Ltd.,Basic Materials
Basic Average Shares,-,"235,200","233,900","239,000","240,400",income statement,Axalta Coating Systems Ltd.,Basic Materials
Diluted Average Shares,-,"236,000","235,800","242,900","246,100",income statement,Axalta Coating Systems Ltd.,Basic Materials
Total Operating Income as Reported,"547,900","305,500","488,200","442,100","362,300",income statement,Axalta Coating Systems Ltd.,Basic Materials
Total Expenses,"3,743,900","3,432,100","3,994,000","4,253,900","3,943,800",income statement,Axalta Coating Systems Ltd.,Basic Materials
Net Income from Continuing & Discontinued Operation,"293,800","121,600","249,000","207,100","36,700",income statement,Axalta Coating Systems Ltd.,Basic Materials
Normalized Income,"325,837","163,117","255,503","222,004","96,280",income statement,Axalta Coating Systems Ltd.,Basic Materials
Interest Expense,"144,200","149,900","162,600","159,600","147,000",income statement,Axalta Coating Systems Ltd.,Basic Materials
Net Interest Income,"-144,200","-149,900","-162,600","-159,600","-147,000",income statement,Axalta Coating Systems Ltd.,Basic Materials
EBIT,"521,600","272,100","492,600","427,100","336,600",income statement,Axalta Coating Systems Ltd.,Basic Materials
EBITDA,"834,100",-,-,-,-,income statement,Axalta Coating Systems Ltd.,Basic Materials
Reconciled Cost of Revenue,"2,552,300","2,250,800","2,678,000","2,852,600","2,533,300",income statement,Axalta Coating Systems Ltd.,Basic Materials
Reconciled Depreciation,"312,500","320,300","353,000","369,100","347,500",income statement,Axalta Coating Systems Ltd.,Basic Materials
Net Income from Continuing Operation Net Minority Interest,"293,800","121,600","249,000","207,100","36,700",income statement,Axalta Coating Systems Ltd.,Basic Materials
Total Unusual Items Excluding Goodwill,"-41,000","-41,600","-8,500","-18,700","-99,300",income statement,Axalta Coating Systems Ltd.,Basic Materials
Total Unusual Items,"-41,000","-41,600","-8,500","-18,700","-99,300",income statement,Axalta Coating Systems Ltd.,Basic Materials
Normalized EBITDA,"875,100","634,000","854,100","814,900","783,400",income statement,Axalta Coating Systems Ltd.,Basic Materials
Tax Rate for Calcs,0,0,0,0,0,income statement,Axalta Coating Systems Ltd.,Basic Materials
Tax Effect of Unusual Items,"-8,963",-83.2,"-1,997","-3,796","-39,720",income statement,Axalta Coating Systems Ltd.,Basic Materials
